"","sites","weights"
"1","Australia",-0.0305184698854883
"2","Bangladesh",0.299726377514383
"3","Hongkong",0.259833955174045
"4","Indonesia",-0.0378622799156685
"5","Malaysia",1.86716572143086e-05
"6","Myanmar",0.203389243985259
"7","New Zealand",0.0620562718954097
"8","Pakistan",0.0206926408087521
"9","Philippines",0.0965350391354272
"10","Shanghai",-0.205826695876172
"11","Singapore",0.0581820735797422
"12","South Korea",0.0554365299000035
"13","Sri Lanka",0.0324745085704825
"14","Taiwan",0.03779982425526
"15","Thailand",0.133891675906683
"16","Vietnam",0.0141706332946665
