name,xcoor,ycoor,erP,ID
Australia,2.87062632,1.478858333,147.89,1
Bangladesh,2.273871754,0.696266667,69.63,3
Hongkong,2.730711505,0.391125,39.11,1
Indonesia,3.041466561,1.007666667,100.77,3
Malaysia,2.873553953,1.213058333,121.31,1
Myanmar,2.830035592,0.286333333,28.63,3
New Zealand,2.091406156,0.715733333,71.57,1
Pakistan,2.814993886,1.003166667,100.32,3
Philippines,3.398287292,1.40645,40.65,1
Shanghai,2.370680817,1.725016667,172.5,2
Singapore,2.935988094,1.1596,115.96,1
South Korea,2.439705932,1.286754167,128.68,1
Sri Lanka,2.912286815,1.670833333,67.08,3
Taiwan,3.004677875,0.808875,80.89,1
Thailand,3.144209654,0.822,82.2,1
Vietnam,2.717242815,0.739970833,74,3
